,Name,Stay Description
0,Flat in Hyderabad,Sai Nilayam 1BHK Near AIG Hospital
1,Private room in Hyderabad,Yarnville Room 6 with non-attached bath
2,Farm stay in Hyderabad,Aira Farm Retreat
3,Apartment in Hyderabad,LEMON HAUS - 3BHK Near Banjara Hills
4,Apartment in Hyderabad,URBAN HAUS - New 2-Bedroom Apartment
5,Apartment in Hyderabad,CENTRALLY LOCATED DESIGNER 3 BR APARTMENT!
6,Private room in Hyderabad,Cheerful studio room with kitchenette & workspace.
7,Private room in Hyderabad,Private room for women in beautiful apt.
8,Flat in Madhapur,Studio Flat with kitchen and Portico
9,Hotel room in Hyderabad,Super Cozy luxury room in a Boutique Hotel.
10,Flat in Hyderabad,Urban Nest-3BH @ Financial District (1st FLOOR)
11,Private room in Hyderabad,"Studio room with high speed wifi, ups&freeparking."
12,Home in Hyderabad,Luxury 1 Bedroom Private Suite with Tub
13,Private room in Secunderabad,Sevakunj 1
14,Private room in Hyderabad,1 room in spacious apt. in -Hitech City
15,Apartment in Shivarampally Jagir,Affordable Luxury Suite close to Airport & Attapur
16,Farm stay in Hyderabad,Mango orchard Farm house 1BR & big hall for events
17,Private room in Secunderabad,Work Arena
18,Private room in Hyderabad,Private room for women in beautiful apt.
19,Apartment in Hyderabad,Modern 3BHK Penthouse with Private Terrace
20,Flat in Miyapur,Vrt service apartment
21,Flat in Hyderabad,Urban Nest-3BH @ Financial District (1st FLOOR)
22,Apartment in Shivarampally Jagir,Affordable Luxury Suite close to Airport & Attapur
23,Guest house in Hyderabad,BMS Guest House - 2 BHK Lux Ac Only For Family’s
24,Apartment in Hyderabad,ZEN HAUS - Modern 2BHK Apartment
25,Flat in Upperpally,Luxury Stay: 3BR Fully Equipped Haven (Central)
26,Private room in Manikonda Jagir,"Private room at Manikonda, Lanco hills, Room-203"
27,Holiday home in Hyderabad,Cozy 3 bhk A/C home @ wipro circle
28,Flat in Hyderabad,WEST FRONT Lavish Studio
29,Farm stay in Hyderabad,Farm House Stay with Swimming Pool and Greenery
30,Home in Hyderabad,Family&PetFriendly 5BHK With Jacuzzi @BanjaraHills
31,Home in Hyderabad,Luxury 1 Bedroom Private Suite with Tub
32,Home in Hyderabad,A convenient home stay in city centre
33,Flat in Hyderabad,Urban Nest - 2BHK Serviced Apartments
34,Apartment in Hyderabad,"Luxury Duplex - Rooftop Lawn, Hill View, Fire Camp"
35,Hotel room in Hyderabad,Super Cozy luxury room in a Boutique Hotel.
36,Apartment in Shivarampally Jagir,Luxurious 2BHK @ Attapur P#258
37,Home in Secunderabad,Beautiful 2BHK  centrally located  secundrabad.
38,Flat in Hyderabad,Sai Nilayam 1BHK Near AIG Hospital
39,Farm stay in Kanakamamidi,Mangowoods Serenity
40,Flat in Hyderabad,Urban Nest-3BH @ Financial District (2nd Floor)
41,Home in Balapur,Modern 3 BHK Duplex House with NRI amenities
